O*NET-SOC Code,risacLetters,ProblemSolving_LV,CriticalThinking_LV,ProblemSolving_Score100,CriticalThinking_Score100,ProblemSolving_ReqLevel,CriticalThinking_ReqLevel,BigFive_Openness_Proxy100,BigFive_Conscientiousness_Proxy100,BigFive_Extraversion_Proxy100,BigFive_Agreeableness_Proxy100,BigFive_EmotionalStability_Proxy100
11-9199.08,CE,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid,71.16666666666667,86.79999999999998,74.625,71.33333333333334,86.25
11-9199.09,EC,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid,66.41666666666666,78.1,73.0,70.16666666666667,75.0
11-9199.10,EC,3.25,4.25,46.42857142857143,60.71428571428571,Mid,Mid,67.91666666666667,78.60000000000001,68.5,64.66666666666666,77.0
11-9199.11,CE,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid,62.83333333333333,81.30000000000001,64.12500000000001,63.75000000000001,61.25000000000001
13-1011.00,ES,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid,69.08333333333333,83.05000000000003,67.75,72.58333333333333,66.75
13-1021.00,EC,3.0,3.75,42.85714285714285,53.57142857142857,Mid,Mid,63.66666666666667,83.15,69.0,68.08333333333333,92.25000000000001
13-1022.00,EC,3.12,4.0,44.57142857142857,57.14285714285714,Mid,Mid,73.33333333333334,77.15,67.5,74.33333333333333,77.25
13-1023.00,CE,3.88,3.88,55.42857142857143,55.42857142857143,Mid,Mid,69.5,87.4,63.12500000000001,64.5,85.75
13-1031.00,CE,3.38,4.25,48.285714285714285,60.71428571428571,Mid,Mid,79.91666666666666,88.19999999999999,71.375,78.66666666666666,91.25000000000001
13-1032.00,CR,2.88,3.75,41.14285714285714,53.57142857142857,Low,Mid,62.16666666666667,75.0,53.25,64.16666666666666,71.25
13-1041.00,CE,2.88,3.62,41.14285714285714,51.71428571428572,Low,Mid,71.83333333333334,79.15,66.375,73.75000000000001,72.75
13-1041.01,CI,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid,59.166666666666664,82.5,55.62499999999999,60.416666666666664,66.25
13-1041.03,EC,3.62,4.5,51.71428571428572,64.28571428571429,Mid,Mid,67.08333333333334,83.19999999999999,62.375,71.25,84.5
13-1041.04,CE,3.38,4.12,48.285714285714285,58.85714285714286,Mid,Mid,74.83333333333334,80.30000000000001,60.25,72.75,81.25
13-1041.06,IC,3.0,4.0,42.85714285714285,57.14285714285714,Mid,Mid,79.58333333333334,86.00000000000001,68.75,77.50000000000001,91.25000000000001
13-1041.07,CE,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid,61.250000000000014,83.25,56.25,59.583333333333336,72.5
13-1041.08,CE,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid,62.08333333333332,85.55,54.37499999999999,61.66666666666666,83.74999999999999
13-1051.00,CE,3.62,4.12,51.71428571428572,58.85714285714286,Mid,Mid,62.0,77.95,51.625,53.75,69.25
13-1071.00,EC,3.12,4.0,44.57142857142857,57.14285714285714,Mid,Mid,78.33333333333331,81.30000000000001,77.125,84.08333333333333,86.25
13-1074.00,ER,2.75,3.25,39.285714285714285,46.42857142857143,Low,Mid,56.41666666666666,74.9,64.99999999999999,68.83333333333333,60.0
13-1075.00,EC,3.75,4.12,53.57142857142857,58.85714285714286,Mid,Mid,61.499999999999986,78.8,63.5,69.91666666666666,75.0
13-1081.00,CE,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid,70.41666666666666,84.2,71.0,70.83333333333334,80.25
13-1081.01,CI,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid,70.0,81.05,53.125,56.25,73.75
13-1081.02,CE,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid,65.49999999999999,81.35,56.25,60.583333333333336,75.0
13-1082.00,EC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
13-1111.00,CI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid,78.91666666666666,88.20000000000002,79.75000000000001,78.91666666666669,87.00000000000001
13-1121.00,EC,3.5,3.88,50.0,55.42857142857143,Mid,Mid,81.58333333333334,87.14999999999999,79.74999999999999,86.16666666666666,94.75
13-1131.00,ES,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid,66.66666666666666,90.69999999999997,75.62500000000001,82.16666666666666,77.49999999999999
13-1141.00,CE,3.5,3.88,50.0,55.42857142857143,Mid,Mid,61.50000000000001,79.25,59.875,68.25,73.75
13-1151.00,SC,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid,74.66666666666666,78.85,75.0,78.25,76.0
13-1161.00,EC,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid,76.08333333333333,85.35,54.37499999999999,59.08333333333333,71.75
13-1161.01,EC,4.12,3.88,58.85714285714286,55.42857142857143,Mid,Mid,73.16666666666666,82.64999999999998,45.12499999999999,47.5,57.49999999999999
13-1199.04,EC,4.75,4.5,67.85714285714286,64.28571428571429,Mid,Mid,68.5,83.89999999999999,67.625,69.25,69.25
13-1199.05,IE,3.62,4.0,51.71428571428572,57.14285714285714,Mid,Mid,75.0,77.64999999999999,70.875,72.58333333333333,68.25
13-1199.06,CE,3.0,3.88,42.85714285714285,55.42857142857143,Mid,Mid,73.25,79.3,61.25000000000001,63.58333333333333,65.0
13-1199.07,CI,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
13-2011.00,CE,3.5,4.12,50.0,58.85714285714286,Mid,Mid,62.999999999999986,86.9,61.0,65.08333333333333,77.49999999999999
13-2022.00,CE,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
13-2023.00,CE,3.25,3.88,46.42857142857143,55.42857142857143,Mid,Mid,60.91666666666665,76.6,47.875,55.83333333333332,70.75
13-2031.00,CE,3.62,3.88,51.71428571428572,55.42857142857143,Mid,Mid,67.75000000000001,86.25,55.62499999999999,60.333333333333336,80.25
13-2041.00,CE,3.0,4.0,42.85714285714285,57.14285714285714,Mid,Mid,61.250000000000014,81.5,46.875,47.916666666666664,78.75000000000001
13-2051.00,CE,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
13-2052.00,EC,3.75,4.12,53.57142857142857,58.85714285714286,Mid,Mid,63.416666666666664,86.90000000000002,62.0,74.66666666666667,69.25
13-2053.00,CE,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid,59.75,83.0,45.24999999999999,56.33333333333334,75.75
13-2054.00,CI,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
13-2061.00,CE,4.0,4.5,57.14285714285714,64.28571428571429,Mid,Mid,56.00000000000001,79.89999999999999,66.25000000000001,65.16666666666667,68.5
13-2071.00,CS,3.25,3.88,46.42857142857143,55.42857142857143,Mid,Mid,74.00000000000001,87.4,66.5,81.66666666666667,85.00000000000001
13-2072.00,CE,3.12,4.0,44.57142857142857,57.14285714285714,Mid,Mid,65.08333333333334,78.55000000000001,64.5,69.58333333333333,74.5
13-2081.00,CE,3.0,3.75,42.85714285714285,53.57142857142857,Mid,Mid,71.83333333333334,80.80000000000001,61.87499999999999,71.16666666666666,83.0
13-2082.00,CE,3.0,3.62,42.85714285714285,51.71428571428572,Mid,Mid,59.08333333333333,85.45,49.37499999999999,66.33333333333333,78.49999999999999
13-2099.01,IC,4.12,4.75,58.85714285714286,67.85714285714286,Mid,Mid,67.91666666666667,83.0,35.62499999999999,40.416666666666664,73.75
13-2099.04,CE,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid,70.83333333333334,87.94999999999999,64.125,65.66666666666666,77.0
15-1211.00,IC,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid,57.91666666666667,66.59999999999998,47.12499999999999,54.25,59.75
15-1211.01,IC,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,79.83333333333333,84.65,72.625,75.41666666666667,70.25
15-1212.00,CI,3.62,4.12,51.71428571428572,58.85714285714286,Mid,Mid,73.33333333333334,83.15,65.875,69.25,73.0
15-1221.00,IC,4.38,4.25,62.57142857142857,60.71428571428571,Mid,Mid,73.41666666666666,71.74999999999999,58.25,62.16666666666667,65.5
15-1231.00,CI,3.25,3.75,46.42857142857143,53.57142857142857,Mid,Mid,76.41666666666667,81.2,68.0,73.08333333333333,81.25
15-1232.00,CR,3.25,3.88,46.42857142857143,55.42857142857143,Mid,Mid,80.5,85.35,66.875,76.91666666666667,83.74999999999999
15-1241.00,IC,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,67.08333333333334,79.75000000000001,48.75000000000001,54.166666666666664,73.75
15-1241.01,CR,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid,67.08333333333333,81.2,60.74999999999999,61.24999999999999,78.49999999999999
15-1242.00,CI,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid,64.25,74.94999999999999,54.625,62.33333333333334,67.5
15-1243.00,CI,4.0,3.88,57.14285714285714,55.42857142857143,Mid,Mid,67.74999999999999,74.94999999999999,55.25,56.25,67.75
15-1243.01,CI,3.5,3.88,50.0,55.42857142857143,Mid,Mid,72.5,80.24999999999997,48.0,52.5,70.75
15-1244.00,CR,4.0,3.88,57.14285714285714,55.42857142857143,Mid,Mid,77.33333333333334,82.45,58.12500000000001,68.0,79.5
15-1251.00,CI,3.88,3.88,55.42857142857143,55.42857142857143,Mid,Mid,79.91666666666666,88.65,58.62499999999999,70.66666666666667,72.5
15-1252.00,IC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
15-1253.00,IC,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid,71.33333333333333,83.85000000000002,53.25,64.41666666666667,72.75
15-1254.00,CI,3.62,3.88,51.71428571428572,55.42857142857143,Mid,Mid,72.25,78.10000000000001,41.625,50.33333333333333,74.0
15-1255.00,IA,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
15-1255.01,AI,3.88,3.88,55.42857142857143,55.42857142857143,Mid,Mid,76.25,75.50000000000001,58.75,65.41666666666667,78.75000000000001
15-1299.01,CI,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid,73.75,82.99999999999999,50.62500000000001,51.25000000000001,75.0
15-1299.02,CI,3.25,3.75,46.42857142857143,53.57142857142857,Mid,Mid,80.16666666666666,80.79999999999998,51.625,58.00000000000001,62.0
15-1299.03,CI,3.62,3.75,51.71428571428572,53.57142857142857,Mid,Mid,62.5,80.74999999999999,60.62499999999999,60.83333333333334,66.25
15-1299.04,IC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
15-1299.05,CI,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
15-1299.06,IC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
15-1299.07,CI,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
15-1299.08,IC,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid,65.58333333333334,80.35000000000001,48.875,56.833333333333336,77.49999999999999
15-1299.09,EC,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid,75.75,85.55,83.25,80.16666666666667,89.25
15-2011.00,CI,4.62,4.75,66.0,67.85714285714286,Mid,Mid,64.58333333333334,84.25,46.875,46.74999999999999,57.25
15-2021.00,IC,4.88,5.12,69.71428571428572,73.14285714285714,Mid,Advanced,73.99999999999999,84.35,41.625,45.08333333333333,56.25
15-2031.00,IC,4.5,4.12,64.28571428571429,58.85714285714286,Mid,Mid,77.83333333333333,82.85,48.24999999999999,53.91666666666667,64.25
15-2041.00,IC,4.12,4.5,58.85714285714286,64.28571428571429,Mid,Mid,68.25000000000001,84.1,54.75,61.916666666666664,66.75
15-2041.01,IC,4.5,4.88,64.28571428571429,69.71428571428572,Mid,Mid,67.33333333333333,79.25,55.125,60.0,63.5
15-2051.00,IC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
15-2051.01,CI,3.75,4.25,53.57142857142857,60.71428571428571,Mid,Mid,70.83333333333334,78.64999999999999,44.875,48.83333333333333,70.5
15-2051.02,CI,3.62,4.25,51.71428571428572,60.71428571428571,Mid,Mid,60.416666666666664,81.99999999999999,66.875,65.41666666666667,72.5
15-2099.01,IC,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid,67.08333333333334,73.6,50.0,58.833333333333336,62.5
17-1011.00,RA,4.25,4.5,60.71428571428571,64.28571428571429,Mid,Mid,71.91666666666666,84.74999999999999,67.5,73.58333333333333,82.5
17-1012.00,RI,3.75,3.88,53.57142857142857,55.42857142857143,Mid,Mid,74.66666666666667,80.54999999999998,64.25,65.41666666666667,74.0
17-1021.00,CI,3.12,3.75,44.57142857142857,53.57142857142857,Mid,Mid,68.33333333333333,74.50000000000001,50.875,54.41666666666666,51.5
17-1022.00,CR,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid,66.25,87.50000000000003,57.49999999999999,56.66666666666668,71.25
17-1022.01,RC,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid,63.83333333333333,77.8,46.75,54.0,58.25
17-2011.00,IR,4.25,4.62,60.71428571428571,66.0,Mid,Mid,73.58333333333333,79.3,51.87500000000001,55.25000000000001,77.49999999999999
17-2021.00,IR,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid,77.08333333333334,80.75000000000001,50.625,56.25,66.25
17-2031.00,IR,4.5,4.62,64.28571428571429,66.0,Mid,Mid,67.75000000000001,83.3,47.875,58.08333333333334,67.5
17-2041.00,RI,4.38,4.88,62.57142857142857,69.71428571428572,Mid,Mid,72.75,85.7,47.75,50.74999999999999,61.25000000000001
17-2051.00,RI,4.12,4.62,58.85714285714286,66.0,Mid,Mid,63.33333333333333,79.5,54.75,55.16666666666667,69.0
17-2051.01,RI,4.38,4.0,62.57142857142857,57.14285714285714,Mid,Mid,60.25,77.54999999999998,50.5,57.250000000000014,61.25000000000001
17-2051.02,RI,4.75,4.12,67.85714285714286,58.85714285714286,Mid,Mid,61.24999999999999,80.85,48.875,56.49999999999999,69.5
17-2061.00,RI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,68.33333333333333,75.89999999999999,44.37500000000001,52.083333333333336,65.5
17-2071.00,RI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid,67.91666666666667,77.40000000000002,56.375,64.41666666666666,69.75
17-2072.00,RI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,71.16666666666666,79.1,55.375,55.91666666666667,65.5
17-2072.01,CR,3.62,3.88,51.71428571428572,55.42857142857143,Mid,Mid,76.74999999999999,80.95000000000002,61.25000000000001,67.0,79.0
17-2081.00,IR,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid,64.66666666666669,79.89999999999999,51.24999999999999,59.08333333333333,65.5
17-2111.00,IR,3.75,3.88,53.57142857142857,55.42857142857143,Mid,Mid,72.08333333333333,84.85000000000001,65.875,70.25,78.49999999999999
17-2111.02,RI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid,71.66666666666669,81.25,57.49999999999999,65.83333333333331,71.25
17-2112.00,CI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid,78.66666666666669,84.05,63.74999999999999,66.0,79.0
17-2112.01,IR,4.0,4.38,57.14285714285714,62.57142857142857,Mid,Mid,75.0,81.5,64.99999999999999,75.0,66.25
17-2112.02,IC,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid,65.41666666666667,82.99999999999999,56.87500000000001,61.24999999999999,75.0
17-2112.03,RI,4.25,4.0,60.71428571428571,57.14285714285714,Mid,Mid,71.5,81.35,56.75,60.83333333333334,76.0
17-2121.00,RI,4.12,4.5,58.85714285714286,64.28571428571429,Mid,Mid,69.33333333333334,81.0,55.125,52.083333333333336,70.75
17-2131.00,RI,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid,74.16666666666666,84.80000000000001,57.62499999999999,58.25,70.25
17-2141.00,RI,4.5,4.12,64.28571428571429,58.85714285714286,Mid,Mid,70.58333333333334,79.35000000000001,60.25,65.91666666666667,81.25
17-2141.01,RI,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid,65.08333333333334,73.2,44.875,51.916666666666664,53.5
17-2141.02,RI,4.25,4.75,60.71428571428571,67.85714285714286,Mid,Mid,68.25,82.80000000000001,54.0,60.416666666666664,72.5
17-2151.00,RI,4.38,4.5,62.57142857142857,64.28571428571429,Mid,Mid,72.33333333333333,77.8,62.625,64.08333333333333,73.25
17-2161.00,IR,4.25,4.88,60.71428571428571,69.71428571428572,Mid,Mid,62.25000000000001,83.29999999999997,52.37499999999999,58.416666666666664,75.0
17-2171.00,RI,4.12,4.38,58.85714285714286,62.57142857142857,Mid,Mid,68.0,78.94999999999999,60.00000000000001,64.58333333333334,68.0
17-2199.03,RI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid,79.16666666666667,82.5,65.875,67.83333333333333,69.25
17-2199.05,RI,4.25,4.0,60.71428571428571,57.14285714285714,Mid,Mid,70.83333333333334,76.50000000000001,53.49999999999999,53.25000000000001,75.0
17-2199.06,IR,4.25,4.12,60.71428571428571,58.85714285714286,Mid,Mid,69.75000000000001,78.65000000000002,51.75000000000001,55.333333333333336,69.0
17-2199.07,IR,4.0,4.75,57.14285714285714,67.85714285714286,Mid,Mid,68.16666666666666,75.65000000000002,35.375,41.75,65.25
17-2199.08,RI,4.12,4.62,58.85714285714286,66.0,Mid,Mid,75.0,82.35,51.87500000000001,59.166666666666664,73.25
17-2199.09,IR,4.12,4.88,58.85714285714286,69.71428571428572,Mid,Mid,73.83333333333334,79.35,46.375,52.75,60.75000000000001
17-2199.10,RI,4.0,4.5,57.14285714285714,64.28571428571429,Mid,Mid,79.66666666666666,84.00000000000001,64.125,64.08333333333333,82.25
17-2199.11,RI,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid,62.83333333333333,79.5,48.62500000000001,58.91666666666667,68.75
17-3011.00,RC,3.75,3.62,53.57142857142857,51.71428571428572,Mid,Mid,74.50000000000001,78.0,59.25,61.16666666666667,74.0
17-3012.00,RC,3.25,3.62,46.42857142857143,51.71428571428572,Mid,Mid,67.91666666666666,73.05,53.87500000000001,60.83333333333334,64.25
17-3013.00,RC,3.12,3.25,44.57142857142857,46.42857142857143,Mid,Mid,70.33333333333333,78.05,61.0,63.916666666666664,72.75
17-3021.00,RC,3.38,4.0,48.285714285714285,57.14285714285714,Mid,Mid,76.08333333333334,81.94999999999999,52.5,55.91666666666667,77.0
17-3022.00,RI,3.25,3.62,46.42857142857143,51.71428571428572,Mid,Mid,69.75000000000001,82.25,68.125,72.33333333333334,73.5
17-3023.00,RI,3.25,3.75,46.42857142857143,53.57142857142857,Mid,Mid,72.41666666666667,79.65,54.75,62.24999999999999,72.25
17-3024.00,RC,3.12,3.75,44.57142857142857,53.57142857142857,Mid,Mid,72.00000000000001,82.45,49.875,63.083333333333336,69.75
17-3024.01,RC,3.62,4.0,51.71428571428572,57.14285714285714,Mid,Mid,73.91666666666667,79.2,42.875,51.99999999999999,75.0
17-3025.00,RI,3.38,4.0,48.285714285714285,57.14285714285714,Mid,Mid,62.5,74.3,56.75,62.08333333333332,76.49999999999999
17-3026.00,RC,3.88,3.88,55.42857142857143,55.42857142857143,Mid,Mid,70.5,77.85,55.75,66.75,78.75000000000001
17-3026.01,RI,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid,66.91666666666666,78.60000000000001,38.625,49.91666666666666,60.75000000000001
17-3027.00,RI,3.5,3.88,50.0,55.42857142857143,Mid,Mid,65.41666666666669,73.3,53.25,55.333333333333336,64.25
17-3027.01,RI,3.25,3.38,46.42857142857143,48.285714285714285,Mid,Mid,70.66666666666667,79.65,53.75,61.16666666666667,71.25
17-3028.00,RC,0.0,0.0,0.0,0.0,Low,Low,50.0,50.0,50.0,50.0,50.0
17-3029.01,RI,3.0,3.62,42.85714285714285,51.71428571428572,Mid,Mid,63.24999999999999,84.7,48.375,58.333333333333336,73.75
